CCODE,ARDAID,ABBREV,CNAME,FIRSTYEAR,FIRSTMONTH,FIRSTDAY,LASTYEAR,LASTMONTH,LASTDAY,XCPOSNAME,XCFULLNAME,XCGIVENNAME,XCFAMNAME,XCRNAME,XCRID,XCR2ID,REMARKS
2,234,USA,United States of America,1945,4,12,1953,1,19,President,Harry S. Truman,Harry,Truman,Baptist,1440,1300,
2,234,USA,United States of America,1953,1,20,1961,1,19,President,"Dwight David ""Ike"" Eisenhower",Dwight,Eisenhower,Presbyterian,1422,1300,
2,234,USA,United States of America,1961,1,20,1963,11,21,President,"John Fitzgerald ""Jack"" Kennedy",John,Kennedy,Roman Catholic,1222,1200,
2,234,USA,United States of America,1963,11,22,1969,1,19,President,Lyndon Baines Johnson,Lyndon,Johnson,Disciples of Christ (Congregationalist),1423,1300,
2,234,USA,United States of America,1969,1,20,1974,8,8,President,Richard Milhous Nixon,Richard,Nixon,Quaker,1480,1300,
2,234,USA,United States of America,1974,8,9,1977,1,19,President,"Gerald Rudolph Ford, Jr.",Gerald,Ford,Episcopalian,1510,1300,
2,234,USA,United States of America,1974,1,20,1981,1,19,President,"James Earl ""Jimmy"" Carter, Jr.",Jimmy,Carter,Baptist,1440,1300,
2,234,USA,United States of America,1981,1,20,1989,1,19,President,Ronald Wilson Reagan,Ronald,Reagan,Presbyterian,1422,1300,
2,234,USA,United States of America,1989,1,20,1992,1,19,President,George Herbert Walker Bush,George,Bush,Episcopalian,1510,1300,
2,234,USA,United States of America,1992,1,20,2001,1,19,President,"William ""Bill"" Jefferson Clinton",Bill,Clinton,Baptist,1440,1300,
2,234,USA,United States of America,2001,1,20,2009,1,19,President,George Walker Bush,George W.,Bush,Methodist,1460,1300,
2,234,USA,United States of America,2009,1,20,2017,1,19,President,Barack Hussein Obama,Barack,Obama,Protestant (NFI),1400,1300,
2,234,USA,United States of America,2017,1,20,,,,President,Donald John Trump,Donald,Trump,Presbyterian,1422,1300,
20,41,CAN,Canada,1935,10,23,1948,11,14,Prime Minister,William Lyon Mackenzie King,William,Mackenzie King,Presbyterian,1422,1300,
20,41,CAN,Canada,1948,11,15,1957,6,20,Prime Minister,Louis Stephen St. Laurent,Louis,St. Laurent,Roman Catholic,1222,1200,
20,41,CAN,Canada,1957,6,21,1963,4,21,Prime Minister,John George Diefenbaker,John,Diefenbaker,Baptist,1440,1300,
20,41,CAN,Canada,1963,4,22,1968,4,19,Prime Minister,"Lester Bowles ""Mike"" Pearson",Lester,Pearson,United Church of Canada (originally Methodist),1470,1300,
20,41,CAN,Canada,1968,4,20,1979,6,3,Prime Minister,Joseph Philippe Pierre Yves Elliott Trudeau,Pierre,Trudeau,Roman Catholic,1222,1200,
20,41,CAN,Canada,1979,6,4,1980,3,2,Prime Minister,"Charles Joseph ""Joe"" Clark",Joe,Clark,Roman Catholic,1222,1200,
20,41,CAN,Canada,1980,3,3,1984,6,29,Prime Minister,Joseph Philippe Pierre Yves Elliott Trudeau,Pierre,Trudeau,Roman Catholic,1222,1200,
20,41,CAN,Canada,1984,6,30,1984,9,16,Prime Minister,John Napier Wyndham Turner,John,Turner,Roman Catholic,1222,1200,
20,41,CAN,Canada,1984,9,17,1993,6,24,Prime Minister,Martin Brian Mulroney,Brian,Mulroney,Roman Catholic,1222,1200,
20,41,CAN,Canada,1993,6,25,1993,11,3,Prime Minister,"Avril Phï¿½dra Douglas ""Kim"" Campbell",Kim,Campbell,Anglican,1510,1300,
20,41,CAN,Canada,1993,11,4,2003,12,11,Prime Minister,Joseph Jacques Jean Chrï¿½tien,Jean,Chrï¿½tien,Roman Catholic,1222,1200,
20,41,CAN,Canada,2003,12,12,2006,2,5,Prime Minister,Paul Edgar Philippe Martin,Paul,Martin,Roman Catholic,1222,1200,
20,41,CAN,Canada,2006,2,6,2015,11,3,Prime Minister,Stephen Joseph Harper,Stephen,Harper,Protestant,1400,1300,"raised in United Church of Canada (1470), now in Christian & Missionary Alliance (1460)"
20,41,CAN,Canada,2015,11,4,,,,Prime Minister,Justin Pierre James Trudeau,Justin,Trudeau,Roman Catholic,1222,1200,
31,17,BHM,Bahamas,1973,7,10,1992,8,20,Prime Minister,Lynden Oscar Pindling,Lynden,Pindling,Church of God of Prophecy (Pentecostal),1520,1300,
31,17,BHM,Bahamas,1992,8,21,2002,5,2,Prime Minister,Hubert Alexander Ingraham,Hubert,Ingraham,Protestant (NFI),1400,1300,from country expert
31,17,BHM,Bahamas,2002,5,3,2007,5,3,Prime Minister,Perry Gladstone Christie,Perry,Christie,Anglican,1510,1300,from country expert
31,17,BHM,Bahamas,2007,5,4,2012,5,7,Prime Minister,Hubert Alexander Ingraham,Hubert,Ingraham,Protestant (NFI),1400,1300,from country expert
31,17,BHM,Bahamas,2012,5,8,2017,5,10,Prime Minister,Perry Gladstone Christie,Perry,Christie,Anglican,1510,1300,from country expert
31,17,BHM,Bahamas,2017,5,11,,,,Prime Minister,Hubert Alexander Minnis,Hubert,Minnis,Roman Catholic,1222,1200,from his FB page
40,63,CUB,Cuba,1944,10,10,1948,10,9,President,Ramï¿½n Grau San Martï¿½n,Ramï¿½n,Grau,,,,
40,63,CUB,Cuba,1948,10,10,1952,3,9,President,Carlos Prï¿½o Socarrï¿½s,Carlos,Prï¿½o,,,,
40,63,CUB,Cuba,1952,3,10,1958,12,31,President,Fulgencio Batista y Zaldï¿½var,Fulgencio,Batista,Roman Catholic,1222,1200,
40,63,CUB,Cuba,1959,1,1,1959,1,1,President,Anselmo Alliegro y Milï¿½,Anselmo,Alliegro,,,,
40,63,CUB,Cuba,1959,1,2,1976,12,1,Prime Minister,Fidel Alejandro Castro Ruz,Fidel,Castro,Atheist,9100,9100,
40,63,CUB,Cuba,1976,12,2,2006,7,30,President,Fidel Alejandro Castro Ruz,Fidel,Castro,Atheist,9100,9100,
40,63,CUB,Cuba,2006,7,31,2008,2,23,Acting President,Raï¿½l Modesto Castro Ruz,Raï¿½l,Castro,Atheist,9100,9100,"although indicated in 2015 that he might join Catholic Church, he never did so"
40,63,CUB,Cuba,2008,2,24,2018,4,18,President,Raï¿½l Modesto Castro Ruz,Raï¿½l,Castro,Atheist,9100,9100,"although indicated in 2015 that he might join Catholic Church, he never did so"
40,63,CUB,Cuba,2018,4,19,,,,President,Miguel Dï¿½az-Canel,Miguel,Dï¿½az-Canel,Atheist,9100,9100,
41,103,HAI,Haiti,1941,5,15,1946,1,10,President,Louis ï¿½lie Lescot,ï¿½lie,Lescot,Roman Catholic,1222,1200,
41,103,HAI,Haiti,1946,1,11,1946,8,15,"Chairman, Military Executive Committee",Franck Lavaud,Franck,Lavaud,Roman Catholic,1222,1200,
41,103,HAI,Haiti,1946,8,16,1950,5,9,President,Dumarsais Estimï¿½,Dumarsais,Estimï¿½,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1950,5,10,1950,12,5,"Chairman, Government Junta",Franck Lavaud,Franck,Lavaud,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1950,12,6,1956,12,11,President,Paul Eugï¿½ne Magloire,Paul,Magloire,Roman Catholic,1222,1200,
41,103,HAI,Haiti,1956,12,12,1957,2,3,Acting President,Joseph Nemours Pierre-Louis,Joseph,Pierre-Louis,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1957,2,4,1957,2,6,Provisional President,vacant,,,,,,
41,103,HAI,Haiti,1957,2,7,1957,4,1,Provisional President,Franck Sylvain,Franck,Sylvain,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1957,4,2,1957,5,24,"Chief of General Staff; from 4/6/57 to 5/19/57, as head of Executive Government Council",Lï¿½on Cantave,Lï¿½on,Cantave,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1957,5,25,1957,6,13,Provisional President,Daniel Fignolï¿½,Daniel,Fignolï¿½,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1957,6,14,1957,10,21,Chairman of Military Council,Antonio Thrasybule Kebreau,Antonio,Kebreau,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1957,10,22,1971,4,20,President,Franï¿½ois Duvalier,Franï¿½ois,Duvalier,Voodooist,1900,1900,
41,103,HAI,Haiti,1971,4,21,1986,2,6,President,Jean-Claude Duvalier,Jean-Claude,Duvalier,Roman Catholic,1222,1200,
41,103,HAI,Haiti,1986,2,7,1988,2,6,Chairman of National Council of Government,Henri Namphy,Henri,Namphy,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1988,2,7,1988,6,19,President,Leslie Franï¿½ois Saint Roc Manigat,Leslie,Manigat,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1988,6,20,1988,9,16,President,Henri Namphy,Henri,Namphy,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1988,9,17,1990,3,9,President,Prosper Avril,Prosper,Avril,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1990,3,10,1990,3,12,Acting President,Hï¿½rard Abraham,Hï¿½rard,Abraham,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1990,3,13,1991,2,6,Provisional President,Ertha Pascal-Trouillot,Ertha,Pascal-Trouillot,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1991,2,7,1991,9,29,President,Jean-Bertrand Aristide,Jean-Bertrand,Aristide,Roman Catholic,1222,1200,
41,103,HAI,Haiti,1991,9,30,1994,10,11,Military Junta Leader,Raoul Cï¿½dras,Raoul,Cï¿½dras,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,1994,10,12,1996,2,6,President,Jean-Bertrand Aristide,Jean-Bertrand,Aristide,Roman Catholic,1222,1200,
41,103,HAI,Haiti,1996,2,7,2001,2,6,President,Renï¿½ Garcia Prï¿½val,Renï¿½,Prï¿½val,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,2001,2,7,2004,2,28,President,Jean-Bertrand Aristide,Jean-Bertrand,Aristide,Roman Catholic,1222,1200,
41,103,HAI,Haiti,2004,2,29,2006,5,13,Provisional President,Boniface Alexandre,Boniface,Alexandre,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,2006,5,14,2011,5,13,President,Renï¿½ Garcia Prï¿½val,Renï¿½,Prï¿½val,Roman Catholic,1222,1200,from country expert
41,103,HAI,Haiti,2011,5,14,2016,2,6,President,Michel Joseph Martelly,Michel,Martelly,Roman Catholic,1222,1200,
41,103,HAI,Haiti,2016,2,7,2016,2,13,Council of Ministers,,,,,,,
41,103,HAI,Haiti,2016,2,14,2017,2,6,Interim President,Jocelerme Privert,Jocelerme,Privert,,,,
41,103,HAI,Haiti,2017,2,7,,,,President,Jovenel Moï¿½se,Jovenel,Moï¿½se,Roman Catholic,1222,1200,from FB page
42,70,DOM,Dominican Republic,1942,5,18,1952,8,15,President,Rafael Leï¿½nidas Trujillo Molina,Rafael,Trujillo,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,1952,8,16,1961,5,29,de facto military strongman,Hï¿½ctor Bienvenido Trujillo Molina,Hï¿½ctor,Trujillo,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1961,5,30,1962,1,15,President,Joaquï¿½n Antonio Balaguer Ricardo,Joaquï¿½n,Balaguer,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1962,1,16,1962,1,17,head of Civic-Military Council,Rodrï¿½guez Echaverrï¿½a,,Echaverrï¿½a,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1962,1,18,1963,2,26,President,Rafael Filiberto Bonnelly Fondeur,Rafael,Bonnelly,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1963,2,27,1963,9,24,President,Juan Emilio Bosch Gaviï¿½o,Juan,Bosch,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1963,9,25,1963,9,25,chairman of provisional junta,Vï¿½ctor Elby Viï¿½as Romï¿½n,Victor,Viï¿½as,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1963,9,26,1963,12,22,Chairman of Triumvirate,Emilio de los Santos y Salciï¿½,Emilio,de los Santos,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,1963,12,23,1963,12,28,Chairman of Triumvirate,vacant,,,,,,
42,70,DOM,Dominican Republic,1963,12,29,1965,4,24,Chairman of Triumvirate,Joseph Donald Reid Cabral,Donald,Reid,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1965,4,25,1965,4,26,Provisional President,Josï¿½ Rafael Molina Ureï¿½a,Josï¿½,Molina Ureï¿½a,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1965,4,27,1965,5,6,Provisional President,Pedro Bartolomï¿½ Benoit Vanderhorst,Pedro,Benoit,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1965,5,7,1965,8,29,President,in dispute,,,Roman Catholic,1222,1200,disputed: Antonio Imbert Barrera (Gov't of Nat'l Reconstr'n) or Francisco Albert Caamano (Constitutionalist); both Catholic (from 2011)
42,70,DOM,Dominican Republic,1965,8,30,1965,9,2,President,vacant,,,,,,
42,70,DOM,Dominican Republic,1965,9,3,1966,6,30,Provisional President,Hï¿½ctor Rafael Garcï¿½a Godoy,Hï¿½ctor,Garcï¿½a Godoy,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,1966,7,1,1978,6,30,President,Joaquï¿½n Antonio Balaguer Ricardo,Joaquï¿½n,Balaguer,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,1978,7,1,1982,7,3,President,Silvestre Antonio Guzmï¿½n Fernï¿½ndez,Antonio,Guzmï¿½n,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1982,7,4,1982,8,15,President,Jacobo Majluta Azar,Jacobo,Majluta,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,1982,8,16,1986,8,15,President,Josï¿½ Salvador Omar Jorge Blanco,Salvador,Blanco,Roman Catholic,1222,1200,from country expert
42,70,DOM,Dominican Republic,1986,8,16,1996,8,15,President,Joaquï¿½n Antonio Balaguer Ricardo,Joaquï¿½n,Balaguer,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,1996,8,16,2000,8,15,President,Leonel Antonio Fernï¿½ndez Reyna,Leonel,Fernï¿½ndez,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,2000,8,16,2004,8,15,President,Rafael Hipï¿½lito Mejï¿½a Domï¿½nguez,Hipï¿½lito,Mejï¿½a,Christian (NFI),1000,1000,
42,70,DOM,Dominican Republic,2004,8,16,2012,8,15,President,Leonel Antonio Fernï¿½ndez Reyna,Leonel,Fernï¿½ndez,Roman Catholic,1222,1200,
42,70,DOM,Dominican Republic,2012,8,16,,,,President,Danilo Medina Sï¿½nchez,Danilo,Medina,Roman Catholic,1222,1200,
51,116,JAM,Jamaica,1962,8,6,1967,2,21,Prime Minister,"William Alexander Clarke Bustamante, born William Alexander Clarke",Alexander,Bustamante,Roman Catholic,1222,1200,from 2011 (source no longer available)
51,116,JAM,Jamaica,1967,2,22,1967,4,10,Prime Minister,Donald Burns Sangster,Donald,Sangster,,,,
51,116,JAM,Jamaica,1967,4,11,1972,3,1,Prime Minister,Hugh Lawson Shearer,Hugh,Shearer,,,,
51,116,JAM,Jamaica,1972,3,2,1980,10,31,Prime Minister,Michael Norman Manley,Michael,Manley,Roman Catholic,1222,1200,
51,116,JAM,Jamaica,1980,11,1,1989,2,9,Prime Minister,Edward Philip George Seaga,Edward,Seaga,Anglican,1510,1300,
51,116,JAM,Jamaica,1989,2,10,1992,3,29,Prime Minister,Michael Norman Manley,Michael,Manley,Roman Catholic,1222,1200,
51,116,JAM,Jamaica,1992,3,30,2006,3,29,Prime Minister,"Percival Noel James ""P.J."" Patterson",P.J.,Patterson,,,,
51,116,JAM,Jamaica,2006,3,30,2007,9,10,Prime Minister,Portia Lucretia Simpson-Miller,Portia,Simpson-Miller,,,,
51,116,JAM,Jamaica,2007,9,11,2011,10,22,Prime Minister,Orette Bruce Golding,Bruce,Golding,Anglican,1510,1300,
51,116,JAM,Jamaica,2011,10,23,2012,1,4,Prime Minister,Andrew Holness,Andrew,Holness,Adventist,1450,1300,
51,116,JAM,Jamaica,2012,1,5,2016,3,2,Prime Minister,Portia Lucretia Simpson-Miller,Portia,Simpson-Miller,,,,
51,116,JAM,Jamaica,2016,3,3,,,,Prime Minister,Andrew Holness,Andrew,Holness,Adventist,1450,1300,
52,224,TRI,Trinidad and Tobago,1956,11,10,1981,3,28,Prime Minister,Eric Eustace Williams,Eric,Williams,Anglican,1510,1300,from 2011 (source no longer available)
52,224,TRI,Trinidad and Tobago,1981,3,29,1986,12,17,Prime Minister,George Michael Chambers,George,Chambers,,,,
52,224,TRI,Trinidad and Tobago,1986,12,18,1991,12,16,Prime Minister,Arthur Napoleon Raymond Robinson,A.N.R.,Robinson,Methodist,1460,1300,
52,224,TRI,Trinidad and Tobago,1991,12,17,1995,11,9,Prime Minister,Patrick Augustus Mervyn Manning,Patrick,Manning,Anglican,1510,1300,
52,224,TRI,Trinidad and Tobago,1995,11,10,2001,12,23,Prime Minister,Basdeo Panday,Basdeo,Panday,Hindu,5000,5000,
52,224,TRI,Trinidad and Tobago,2001,12,24,2010,5,25,Prime Minister,Patrick Augustus Mervyn Manning,Patrick,Manning,Anglican,1510,1300,
52,224,TRI,Trinidad and Tobago,2010,5,26,2015,9,8,Prime Minister,Kamla Persad-Bissessar,Kamla,Persad-Bissessar,,,,disputed; Hindu or Baptist
52,224,TRI,Trinidad and Tobago,2015,9,9,,,,Prime Minister,Keith Christopher Rowley,Keith,Rowley,,,,
53,20,BAR,Barbados,1966,1,18,1976,9,7,Prime Minister,Errol Walton Barrow,Errol,Barrow,Anglican,1510,1300,son of Anglican minister
53,20,BAR,Barbados,1976,9,8,1985,3,10,Prime Minister,"Jon Michael Geoffrey Manningham ""Tom"" Adams",Tom,Adams,Anglican,1510,1300,from country expert
53,20,BAR,Barbados,1985,3,11,1986,5,28,Prime Minister,"Harold Bernard ""Bree"" St. John","Bernard ""Bree""",St. John,Anglican,1510,1300,from country expert
53,20,BAR,Barbados,1986,5,29,1987,5,31,Prime Minister,Errol Walton Barrow,Errol,Barrow,Anglican,1510,1300,son of Anglican minister
53,20,BAR,Barbados,1987,6,1,1994,9,5,Prime Minister,Lloyd Erskine Sandiford,Erkine,Sandiford,Anglican,1510,1300,from country expert
53,20,BAR,Barbados,1994,9,6,2008,1,15,Prime Minister,Owen Seymour Arthur,Owen,Arthur,Anglican,1510,1300,from country expert
53,20,BAR,Barbados,2008,1,16,2010,10,22,Prime Minister,David John Howard Thompson,David,Thompson,Anglican,1510,1300,from country expert
53,20,BAR,Barbados,2010,10,23,2018,5,24,Prime Minister,Freundel Jerome Stuart,Freundel,Stuart,Anglican,1510,1300,from country expert
53,20,BAR,Barbados,2018,5,25,,,,Prime Minister,Mia Amor Mottley,Mia,Mottley,Not Religious,9001,9000,from FB page
54,69,DMA,Dominica,1978,11,3,1979,6,24,Prime Minister,Patrick Roland John,Patrick,John,,,,
54,69,DMA,Dominica,1979,6,25,1980,7,20,Prime Minister,"Oliver James ""O.J."" Seraphin",O.J.,Seraphin,,,,
54,69,DMA,Dominica,1980,7,21,1995,6,13,Prime Minister,Mary Eugenia Charles,Eugenia,Charles,,,,
54,69,DMA,Dominica,1995,6,14,2000,2,2,Prime Minister,Edison Chenfil James,Edison,James,Methodist,1460,1300,from 2011 (source no longer available)
54,69,DMA,Dominica,2000,2,3,2000,10,2,Prime Minister,"Roosevelt Bernard ""Rosie"" Douglas","Roosevelt  ""Rosie""",Douglas,Roman Catholic,1222,1200,
54,69,DMA,Dominica,2000,10,3,2003,11,14,Prime Minister,Pierre Charles,Pierre,Charles,Roman Catholic,1222,1200,from 2011 (source no longer available)
54,69,DMA,Dominica,2003,11,15,2004,1,7,Acting Prime Minister,Francis Osborne Riviere,Osborne,Riviere,,,,
54,69,DMA,Dominica,2004,1,8,,,,Prime Minister,Roosevelt Skerrit,Roosevelt,Skerrit,Roman Catholic,1222,1200,from FB page
55,95,GRN,Grenada,1974,2,7,1979,3,11,Prime Minister,Eric Mathew Gairy,Eric,Gairy,Roman Catholic,1222,1200,
