CCODE,ABBREV,YEAR,SCODE,SABBREV,ARDAID,NUMISO,ISO3,UNCODE,INDEP,INPOLITY,INCOW,XCNUM,XCRNAME,XCRID,XCRDAYS,XCR2ID,XCR2DAYS
2,USA,1946,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1947,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1948,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,366,1300,366
2,USA,1949,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1950,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1951,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1952,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,366,1300,366
2,USA,1953,2,USA,234,840,USA,840,1,1,1,2,Presbyterian,1422,345,1300,365
2,USA,1954,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1955,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1956,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,366,1300,366
2,USA,1957,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1958,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1959,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1960,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,366,1300,366
2,USA,1961,2,USA,234,840,USA,840,1,1,1,2,Roman Catholic,1222,345,1200,345
2,USA,1962,2,USA,234,840,USA,840,1,1,1,1,Roman Catholic,1222,365,1200,365
2,USA,1963,2,USA,234,840,USA,840,1,1,1,2,Roman Catholic,1222,325,1200,325
2,USA,1964,2,USA,234,840,USA,840,1,1,1,1,Disciples of Christ (Congregationalist),1423,366,1300,366
2,USA,1965,2,USA,234,840,USA,840,1,1,1,1,Disciples of Christ (Congregationalist),1423,365,1300,365
2,USA,1966,2,USA,234,840,USA,840,1,1,1,1,Disciples of Christ (Congregationalist),1423,365,1300,365
2,USA,1967,2,USA,234,840,USA,840,1,1,1,1,Disciples of Christ (Congregationalist),1423,365,1300,365
2,USA,1968,2,USA,234,840,USA,840,1,1,1,1,Disciples of Christ (Congregationalist),1423,366,1300,366
2,USA,1969,2,USA,234,840,USA,840,1,1,1,2,Quaker,1480,345,1300,365
2,USA,1970,2,USA,234,840,USA,840,1,1,1,1,Quaker,1480,365,1300,365
2,USA,1971,2,USA,234,840,USA,840,1,1,1,1,Quaker,1480,365,1300,365
2,USA,1972,2,USA,234,840,USA,840,1,1,1,1,Quaker,1480,366,1300,366
2,USA,1973,2,USA,234,840,USA,840,1,1,1,1,Quaker,1480,365,1300,365
2,USA,1974,2,USA,234,840,USA,840,1,1,1,2,Quaker,1480,220,1300,365
2,USA,1975,2,USA,234,840,USA,840,1,1,1,1,Episcopalian,1510,365,1300,365
2,USA,1976,2,USA,234,840,USA,840,1,1,1,1,Episcopalian,1510,366,1300,366
2,USA,1977,2,USA,234,840,USA,840,1,1,1,2,Baptist,1440,345,1300,365
2,USA,1978,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1979,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1980,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,366,1300,366
2,USA,1981,2,USA,234,840,USA,840,1,1,1,2,Presbyterian,1422,345,1300,365
2,USA,1982,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1983,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1984,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,366,1300,366
2,USA,1985,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1986,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1987,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
2,USA,1988,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,366,1300,366
2,USA,1989,2,USA,234,840,USA,840,1,1,1,2,Episcopalian,1510,345,1300,365
2,USA,1990,2,USA,234,840,USA,840,1,1,1,1,Episcopalian,1510,365,1300,365
2,USA,1991,2,USA,234,840,USA,840,1,1,1,1,Episcopalian,1510,365,1300,365
2,USA,1992,2,USA,234,840,USA,840,1,1,1,1,Episcopalian,1510,366,1300,366
2,USA,1993,2,USA,234,840,USA,840,1,1,1,2,Baptist,1440,345,1300,365
2,USA,1994,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1995,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1996,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,366,1300,366
2,USA,1997,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1998,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,1999,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,365,1300,365
2,USA,2000,2,USA,234,840,USA,840,1,1,1,1,Baptist,1440,366,1300,366
2,USA,2001,2,USA,234,840,USA,840,1,1,1,2,Methodist,1460,345,1300,365
2,USA,2002,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,365,1300,365
2,USA,2003,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,365,1300,365
2,USA,2004,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,366,1300,366
2,USA,2005,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,365,1300,365
2,USA,2006,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,365,1300,365
2,USA,2007,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,365,1300,365
2,USA,2008,2,USA,234,840,USA,840,1,1,1,1,Methodist,1460,366,1300,366
2,USA,2009,2,USA,234,840,USA,840,1,1,1,2,Protestant (NFI),1400,345,1300,365
2,USA,2010,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,365,1300,365
2,USA,2011,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,365,1300,365
2,USA,2012,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,366,1300,366
2,USA,2013,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,365,1300,365
2,USA,2014,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,365,1300,365
2,USA,2015,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,365,1300,365
2,USA,2016,2,USA,234,840,USA,840,1,1,1,1,Protestant (NFI),1400,366,1300,366
2,USA,2017,2,USA,234,840,USA,840,1,1,1,2,Presbyterian,1422,345,1300,365
2,USA,2018,2,USA,234,840,USA,840,1,1,1,1,Presbyterian,1422,365,1300,365
20,CAN,1946,20,CAN,41,124,CAN,124,1,1,1,1,Presbyterian,1422,365,1300,365
20,CAN,1947,20,CAN,41,124,CAN,124,1,1,1,1,Presbyterian,1422,365,1300,365
